danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target
0.465,0.355,2,-6.988,1,0.0309,0.251,0.000137,0.364,0.176,122.193,audio_features,6R7HXdGChalsGEvAI4iSu0,spotify:track:6R7HXdGChalsGEvAI4iSu0,https://api.spotify.com/v1/tracks/6R7HXdGChalsGEvAI4iSu0,https://api.spotify.com/v1/audio-analysis/6R7HXdGChalsGEvAI4iSu0,307333,4,1
0.402,0.627,0,-6.174,1,0.0354,0.00389,0.556,0.256,0.626,104.696,audio_features,7a1JTT4kdNBYagv55xmirz,spotify:track:7a1JTT4kdNBYagv55xmirz,https://api.spotify.com/v1/tracks/7a1JTT4kdNBYagv55xmirz,https://api.spotify.com/v1/audio-analysis/7a1JTT4kdNBYagv55xmirz,233143,3,1
0.591,0.943,10,-7.826,0,0.044,0.00561,0.802,0.185,0.225,143.996,audio_features,7C0V8U4pt446vzoi4FZCfj,spotify:track:7C0V8U4pt446vzoi4FZCfj,https://api.spotify.com/v1/tracks/7C0V8U4pt446vzoi4FZCfj,https://api.spotify.com/v1/audio-analysis/7C0V8U4pt446vzoi4FZCfj,364565,4,1
0.683,0.887,6,-4.944,0,0.0497,0.0125,0.446,0.318,0.551,132.007,audio_features,6gdDu39yYqPcaTgCwYEW8i,spotify:track:6gdDu39yYqPcaTgCwYEW8i,https://api.spotify.com/v1/tracks/6gdDu39yYqPcaTgCwYEW8i,https://api.spotify.com/v1/audio-analysis/6gdDu39yYqPcaTgCwYEW8i,267947,4,1
0.224,0.803,1,-10.739,1,0.0553,0.63,0.935,0.0926,0.551,72.287,audio_features,3iHGhKJc0OR5m37pVyRLrQ,spotify:track:3iHGhKJc0OR5m37pVyRLrQ,https://api.spotify.com/v1/tracks/3iHGhKJc0OR5m37pVyRLrQ,https://api.spotify.com/v1/audio-analysis/3iHGhKJc0OR5m37pVyRLrQ,286507,4,1
0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,audio_features,4wH4dJgrsxONID6KS2tDQM,spotify:track:4wH4dJgrsxONID6KS2tDQM,https://api.spotify.com/v1/tracks/4wH4dJgrsxONID6KS2tDQM,https://api.spotify.com/v1/audio-analysis/4wH4dJgrsxONID6KS2tDQM,258893,4,1
0.807,0.625,0,-6.67,1,0.351,0.0741,0.0,0.487,0.871,146.031,audio_features,6r9xnueU24r4eoG3HXC87E,spotify:track:6r9xnueU24r4eoG3HXC87E,https://api.spotify.com/v1/tracks/6r9xnueU24r4eoG3HXC87E,https://api.spotify.com/v1/audio-analysis/6r9xnueU24r4eoG3HXC87E,111971,4,1
0.31,0.537,9,-9.751,1,0.0368,0.016,0.112,0.0861,0.123,112.255,audio_features,2Wbssw1v5pKtnBaQ1doY1Z,spotify:track:2Wbssw1v5pKtnBaQ1doY1Z,https://api.spotify.com/v1/tracks/2Wbssw1v5pKtnBaQ1doY1Z,https://api.spotify.com/v1/audio-analysis/2Wbssw1v5pKtnBaQ1doY1Z,290588,4,1
0.575,0.7,7,-8.444,1,0.0636,0.34,0.0329,0.0998,0.113,110.989,audio_features,3QEYYJTIEd6Tv0HCrgHvri,spotify:track:3QEYYJTIEd6Tv0HCrgHvri,https://api.spotify.com/v1/tracks/3QEYYJTIEd6Tv0HCrgHvri,https://api.spotify.com/v1/audio-analysis/3QEYYJTIEd6Tv0HCrgHvri,408800,4,1
0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,audio_features,4k6Uh1HXdhtusDW5y8Gbvy,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/tracks/4k6Uh1HXdhtusDW5y8Gbvy,https://api.spotify.com/v1/audio-analysis/4k6Uh1HXdhtusDW5y8Gbvy,232067,4,1
0.392,0.393,3,-7.702,1,0.0567,0.378,0.854,0.0629,0.336,119.965,audio_features,7zMmSFncdGYsdmk8qqbh8A,spotify:track:7zMmSFncdGYsdmk8qqbh8A,https://api.spotify.com/v1/tracks/7zMmSFncdGYsdmk8qqbh8A,https://api.spotify.com/v1/audio-analysis/7zMmSFncdGYsdmk8qqbh8A,241141,4,1
0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,audio_features,41P6Tnd8KIHqON0QIydx6a,spotify:track:41P6Tnd8KIHqON0QIydx6a,https://api.spotify.com/v1/tracks/41P6Tnd8KIHqON0QIydx6a,https://api.spotify.com/v1/audio-analysis/41P6Tnd8KIHqON0QIydx6a,177533,4,1
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,audio_features,4tf04WrZTy60CawyvueIdK,spotify:track:4tf04WrZTy60CawyvueIdK,https://api.spotify.com/v1/tracks/4tf04WrZTy60CawyvueIdK,https://api.spotify.com/v1/audio-analysis/4tf04WrZTy60CawyvueIdK,158293,4,1
